Part Type,Manufacturer,Part Name,HEM,In Shop,Price,Sell Price,Level,Level %,Steam Version,Platform Lock,Is DLC,Lighting,Asset Path,Full Part Name
Cable,,Loose Plastic Black,,Y,100,,1,1,1.0,,,,Prefabs/Cables/Loose_Plastic_Black,Loose Plastic Black
Cable,,Loose Plastic Light Grey,,Y,100,,1,1,1.0,,,,Prefabs/Cables/Loose_Plastic_Light_Grey,Loose Plastic Light Grey
Cable,,Loose Plastic White,,Y,100,,1,1,1.0,,,,Prefabs/Cables/Loose_Plastic_White,Loose Plastic White
Cable,,Ribbon Braided Black,,Y,200,,9,1,1.0,,,,Prefabs/Cables/Ribbon_Braided_Black,Ribbon Braided Black
Cable,,Ribbon Braided Blue,,Y,200,,10,1,1.0,,,,Prefabs/Cables/Ribbon_Braided_Blue,Ribbon Braided Blue
Cable,,Ribbon Braided Cyan,,Y,200,,13,1,1.0,,,,Prefabs/Cables/Ribbon_Braided_Cyan,Ribbon Braided Cyan
Cable,,Ribbon Braided Dark Grey,,Y,200,,13,1,1.0,,,,Prefabs/Cables/Ribbon_Braided_Grey_Dark,Ribbon Braided Dark Grey
Cable,,Ribbon Braided Green,,Y,200,,11,1,1.0,,,,Prefabs/Cables/Ribbon_Braided_Green,Ribbon Braided Green
Cable,,Ribbon Braided Light Grey,,Y,200,,13,1,1.0,,,,Prefabs/Cables/Ribbon_Braided_Grey_Light,Ribbon Braided Light Grey
Cable,,Ribbon Braided Lime,,Y,200,,13,1,1.0,,,,Prefabs/Cables/Ribbon_Braided_Lime,Ribbon Braided Lime
Cable,,Ribbon Braided Orange,,Y,200,,11,1,1.0,,,,Prefabs/Cables/Ribbon_Braided_Orange,Ribbon Braided Orange
Cable,,Ribbon Braided Pink,,Y,200,,12,1,1.0,,,,Prefabs/Cables/Ribbon_Braided_Pink,Ribbon Braided Pink
Cable,,Ribbon Braided Purple,,Y,200,,12,1,1.0,,,,Prefabs/Cables/Ribbon_Braided_Purple,Ribbon Braided Purple
Cable,,Ribbon Braided Rainbow,,Y,400,,30,1,1.0,,,,Prefabs/Cables/Ribbon_Braided_Rainbow,Ribbon Braided Rainbow
Cable,,Ribbon Braided Red,,Y,200,,10,1,1.0,,,,Prefabs/Cables/Ribbon_Braided_Red,Ribbon Braided Red
Cable,,Ribbon Braided White,,Y,200,,9,1,1.0,,,,Prefabs/Cables/Ribbon_Braided_White,Ribbon Braided White
Cable,,Ribbon Braided Yellow,,Y,200,,13,1,1.0,,,,Prefabs/Cables/Ribbon_Braided_Yellow,Ribbon Braided Yellow
Cable,,Ribbon Plastic Black,,Y,100,,1,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Black,Ribbon Plastic Black
Cable,,Ribbon Plastic Blue,,Y,100,,5,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Blue,Ribbon Plastic Blue
Cable,,Ribbon Plastic Cyan,,Y,100,,8,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Cyan,Ribbon Plastic Cyan
Cable,,Ribbon Plastic Dark Grey,,Y,100,,8,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Grey_Dark,Ribbon Plastic Dark Grey
Cable,,Ribbon Plastic Duo Black Blue,,Y,400,,19,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Bi_Black_Blue,Ribbon Plastic Duo Black Blue
Cable,,Ribbon Plastic Duo Black Cyan,,Y,400,,21,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Bi_Black_Cyan,Ribbon Plastic Duo Black Cyan
Cable,,Ribbon Plastic Duo Black Green,,Y,400,,20,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Bi_Black_Green,Ribbon Plastic Duo Black Green
Cable,,Ribbon Plastic Duo Black Light Grey,,Y,400,,19,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Bi_Black_Light_Grey,Ribbon Plastic Duo Black Light Grey
Cable,,Ribbon Plastic Duo Black Lime,,Y,400,,21,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Bi_Black_Lime,Ribbon Plastic Duo Black Lime
Cable,,Ribbon Plastic Duo Black Orange,,Y,400,,20,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Bi_Black_Orange,Ribbon Plastic Duo Black Orange
Cable,,Ribbon Plastic Duo Black Pink,,Y,400,,20,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Bi_Black_Pink,Ribbon Plastic Duo Black Pink
Cable,,Ribbon Plastic Duo Black Purple,,Y,400,,20,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Bi_Black_Purple,Ribbon Plastic Duo Black Purple
Cable,,Ribbon Plastic Duo Black Red,,Y,400,,19,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Bi_Black_Red,Ribbon Plastic Duo Black Red
Cable,,Ribbon Plastic Duo Black White,,Y,400,,19,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Bi_Black_White,Ribbon Plastic Duo Black White
Cable,,Ribbon Plastic Duo Black Yellow,,Y,400,,21,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Bi_Black_Yellow,Ribbon Plastic Duo Black Yellow
Cable,,Ribbon Plastic Green,,Y,100,,6,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Green,Ribbon Plastic Green
Cable,,Ribbon Plastic Light Grey,,Y,100,,8,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Grey_Light,Ribbon Plastic Light Grey
Cable,,Ribbon Plastic Lime,,Y,100,,8,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Lime,Ribbon Plastic Lime
Cable,,Ribbon Plastic Orange,,Y,100,,6,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Orange,Ribbon Plastic Orange
Cable,,Ribbon Plastic Patterned Blue White,,Y,400,,28,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Ptrn_Blue_White,Ribbon Plastic Patterned Blue White
Cable,,Ribbon Plastic Patterned Blue Yellow,,Y,400,,24,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Ptrn_Blue_Yellow,Ribbon Plastic Patterned Blue Yellow
Cable,,Ribbon Plastic Patterned Blue Yellow Green,,Y,400,,25,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Ptrn_Blue_Yellow_Green,Ribbon Plastic Patterned Blue Yellow Green
Cable,,Ribbon Plastic Patterned Blue Yellow Red,,Y,400,,27,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Ptrn_Blue_Yellow_Red,Ribbon Plastic Patterned Blue Yellow Red
Cable,,Ribbon Plastic Patterned Cyan White,,Y,400,,26,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Ptrn_Cyan_White,Ribbon Plastic Patterned Cyan White
Cable,,Ribbon Plastic Patterned Green Red,,Y,400,,27,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Ptrn_Green_Red,Ribbon Plastic Patterned Green Red
Cable,,Ribbon Plastic Patterned Green White,,Y,400,,26,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Ptrn_Green_White,Ribbon Plastic Patterned Green White
Cable,,Ribbon Plastic Patterned Green White Red,,Y,400,,25,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Ptrn_Green_White_Red,Ribbon Plastic Patterned Green White Red
Cable,,Ribbon Plastic Patterned Lime Black Grey,,Y,400,,24,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Ptrn_Lime_Black_Grey,Ribbon Plastic Patterned Lime Black Grey
Cable,,Ribbon Plastic Patterned Orange White,,Y,400,,28,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Ptrn_Orange_White,Ribbon Plastic Patterned Orange White
Cable,,Ribbon Plastic Patterned Orange White Green,,Y,400,,25,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Ptrn_Orange_White_Green,Ribbon Plastic Patterned Orange White Green
Cable,,Ribbon Plastic Patterned Purple Black,,Y,400,,27,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Ptrn_Purple_Black,Ribbon Plastic Patterned Purple Black
Cable,,Ribbon Plastic Patterned Purple White,,Y,400,,27,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Ptrn_Purple_White,Ribbon Plastic Patterned Purple White
Cable,,Ribbon Plastic Patterned Red Green White Black,,Y,400,,26,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Ptrn_Red_Green_White_Black,Ribbon Plastic Patterned Red Green White Black
Cable,,Ribbon Plastic Patterned Red White Blue,,Y,400,,24,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Ptrn_Red_White_Blue,Ribbon Plastic Patterned Red White Blue
Cable,,Ribbon Plastic Patterned Red Yellow,,Y,400,,25,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Ptrn_Red_Yellow,Ribbon Plastic Patterned Red Yellow
Cable,,Ribbon Plastic Patterned Red Yellow Black,,Y,400,,24,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Ptrn_Red_Yellow_Black,Ribbon Plastic Patterned Red Yellow Black
Cable,,Ribbon Plastic Patterned White Pink,,Y,400,,28,1,1.0,,,,Prefabs/Cables/Ribbon_Plastic_Ptrn_White_Pink,Ribbon Plastic Patterned White Pink
